URL,Size,OutLinks,Type
https://www.yahoo.com/news/25-unbelievably-good-thanksgiving-appetizer-172755527/photo-p-comes-rel-nofollow-href-photo-233913809.html,400042,65,text/html
https://www.yahoo.com/news/25-unbelievably-good-thanksgiving-appetizer-172755527/photo-p-potatoes-two-ways-fried-photo-213903752.html,402251,68,text/html
https://www.yahoo.com/news/gop-facing-thumping-shellacking-ahead-can-pull-off-escape-155359539.html,479546,124,text/html
https://www.yahoo.com/news/indiana-senate-race-tests-hoosier-independence-trump-210500061.html,362303,81,text/html
https://www.yahoo.com/news/obama-rails-against-republicans-rallies-democrats-nevada-220707687--election.html,355046,63,text/html
https://www.yahoo.com/news/photos-president-mrs-trump-attend-national-christmas-tree-lighting-143903262.html,417601,86,text/html
https://www.yahoo.com/news/tom-perriello-a-next-generation-democrat-shakes-up-virginia-governors-race-182849869.html,450413,89,text/html
https://www.yahoo.com/news/agency-created-protect-elections-broken-090034620.html,476409,96,text/html
https://www.yahoo.com/news/republicans-beating-democrats-facebook-much-090031192.html,398431,81,text/html
https://www.yahoo.com/news/democratic-socialists-america-show-muscle-new-york-congressional-upset-211526095.html,482669,99,text/html
https://www.yahoo.com/news/bell-tolls-john-mccain-hemingways-antifascist-hero-shaped-man-125401573.html,390720,76,text/html
https://www.yahoo.com/news/week-trumps-words-caught-163333323.html,389655,86,text/html
https://www.yahoo.com/news/hannity-compares-russia-investigation-nutty-birther-conspiracy-doesnt-believe-anymore-171607280.html,344753,69,text/html
https://www.yahoo.com/news/trump-didnt-really-believe-the-birther-conspiracy-he-was-pushing-son-in-law-reportedly-says-165840299.html,356583,71,text/html
https://www.yahoo.com/news/michelle-obama-says-she-ll-041518719.html,316728,60,text/html
https://www.yahoo.com/news/supposed-stand-bullies-obama-delivers-stinging-rebuke-trump-presidency-174637412.html,351655,74,text/html
https://www.yahoo.com/news/senate-gop-moves-forward-health-care-bill-dramatic-procedural-vote-193714309.html,336840,59,text/html
https://www.yahoo.com/news/trump-seeks-regain-mojo-ohio-campaign-rally-034012684.html,337319,65,text/html
https://www.yahoo.com/news/trump-macron-share-epic-never-ending-handshake-130828533.html,331802,67,text/html
https://www.yahoo.com/news/less-drama-lose-mccain-two-gop-women-cast-equally-crucial-votes-health-bill-203951438.html,349344,71,text/html
https://www.yahoo.com/news/trump-complete-power-pardon-asked-legal-expert-162102466.html,414607,74,text/html
https://www.yahoo.com/news/trump-jr-releases-emails-saying-hed-love-russian-dirt-clinton-154826727.html,351297,73,text/html
https://www.yahoo.com/news/15-remarkable-moments-trumps-nyt-interview-135917019.html,379177,71,text/html
https://www.yahoo.com/news/trump-sessions-beleaguered-142340842.html,333875,74,text/html
https://www.yahoo.com/news/boy-scouts-defend-inviting-trump-amid-backlash-presidents-rambling-speech-143045113.html,358150,67,text/html
https://www.yahoo.com/news/rick-perry-duped-22-minute-interview-pranksters-known-russian-jerky-boys-132715608.html,337423,69,text/html
https://www.yahoo.com/news/trump-rebuke-sessions-shows-work-will-stay-long-appropriate-152835583.html,334525,68,text/html
https://www.yahoo.com/news/trumps-big-beautiful-wall-collides-congress-102804089.html,342047,76,text/html
https://www.yahoo.com/news/no-one-ever-died-pot-overdose-dea-taking-no-chances-201123125.html,378812,83,text/html
https://www.yahoo.com/news/georgias-fraught-history-outsiders-shapes-tight-governors-race-193018511.html,363315,75,text/html
https://www.yahoo.com/news/weed-will-ballot-2018-130055130.html,411758,93,text/html
https://www.yahoo.com/news/rand-paul-dana-rohrabacher-russias-bidding-bill-browder-says-090007911.html,341030,79,text/html
https://www.yahoo.com/news/republican-sen-cory-gardner-introduce-cannabis-bill-states-rights-elizabeth-warren-204517705.html,383533,73,text/html
https://www.yahoo.com/news/scenes-texas-senate-race-slideshow-wp-142229590.html,394684,68,text/html
https://www.yahoo.com/news/4-best-weight-loss-apps-172706871/photo-p-free-3-33-month-photo-010912493.html,351840,72,text/html
https://www.yahoo.com/news/midterms/state/ok,445945,131,text/html
https://www.yahoo.com/news/midterms/state/wi,529923,126,text/html
https://www.yahoo.com/news/midterms/state/ga,530894,133,text/html
https://www.yahoo.com/news/midterms/state/oh,554687,127,text/html
https://www.yahoo.com/news/midterms/state/nm,436985,128,text/html
https://www.yahoo.com/news/midterms/state/vt,416234,126,text/html
https://www.yahoo.com/news/midterms/state/nj,415463,127,text/html
https://www.yahoo.com/news/midterms/state/ny,534830,126,text/html
https://www.yahoo.com/news/midterms/state/wa,420067,131,text/html
https://www.yahoo.com/news/midterms/state/nv,432036,132,text/html
https://www.yahoo.com/news/midterms/state/fl,570692,137,text/html
https://www.yahoo.com/news/midterms/state/nh,375792,128,text/html
https://www.yahoo.com/news/midterms/state/ne,521616,127,text/html
https://www.yahoo.com/news/midterms/house,1031941,127,text/html
https://www.yahoo.com/news/midterms/state/nd,408658,130,text/html
https://www.yahoo.com/news/midterms/state/nc,388160,132,text/html
https://www.yahoo.com/news/midterms/state/il,494395,126,text/html
https://www.yahoo.com/news/midterms/state/al,436383,130,text/html
https://www.yahoo.com/news/midterms/state/ak,439893,127,text/html
https://www.yahoo.com/news/midterms/state/in,460554,127,text/html
https://www.yahoo.com/news/midterms/state/id,420423,128,text/html
https://www.yahoo.com/news/midterms/state/ia,465172,126,text/html
https://www.yahoo.com/news/midterms/state/hi,379399,127,text/html
https://www.yahoo.com/news/midterms/state/pa,536110,126,text/html
https://www.yahoo.com/news/midterms/governor,600274,126,text/html
https://www.yahoo.com/news/honduran-migrant-caravan-pushes-north-slideshow-wp-171026935/photo-p-people-belonging-caravan-migrants-photo-123026826.html,407782,68,text/html
https://www.yahoo.com/news/donald-trump-world-greatest-memory-000000094.html,339097,73,text/html
https://www.yahoo.com/news/trump-jr-s-meeting-russian-lawyer-timeline-213733730.html,379374,84,text/html
https://www.yahoo.com/news/natalia-veselnitskaya-russian-lawyer-met-donald-trump-jr-231050033.html,348750,72,text/html
https://www.yahoo.com/news/police-respond-shots-fired-lower-slideshow-wp-201105546/photo-p-police-near-damaged-home-photo-201105938.html,400831,66,text/html
https://www.yahoo.com/news/police-respond-shots-fired-lower-slideshow-wp-201105546/photo-p-image-made-video-provided-photo-201105897.html,403019,69,text/html
https://www.yahoo.com/news/controversy-over-40-000--missing-voters--in-georgia-is-raising-racial-tensions-in-u-s--senate-race-184042552.html,366557,64,text/html
https://www.yahoo.com/news/topics/democratic-party,311357,65,text/html
https://www.yahoo.com/news/voting-rights-become-flashpoint-georgia-governors-race-144021989--election.html,342705,60,text/html
https://www.yahoo.com/news/four-gop-senators-wont-vote-current-health-care-bill-192155995.html,341243,66,text/html
https://www.yahoo.com/news/obama-approved-cyber-weapons-response-russian-attacks-report-143126463.html,351757,76,text/html
https://www.yahoo.com/news/ex-homeland-security-head-trump-sending-signals-russian-hacking-tolerated-134337381.html,333129,66,text/html
https://www.yahoo.com/news/key-gop-senator-health-care-law-bill-not-answer-191746000.html,328343,63,text/html
https://www.yahoo.com/news/white-house-wants-outrage-johnny-depp-comments-193556236.html,330947,68,text/html
https://www.yahoo.com/news/trump-bluffed-comey-tapes-keep-honest-141757625.html,333873,72,text/html
https://www.yahoo.com/news/dozens-missing-colombia-tourist-boat-slideshow-wp-112633949.html,341214,60,text/html
https://www.yahoo.com/news/senate-gop-updates-health-care-bill-include-6-month-lockout-uninsured-171509672.html,330177,64,text/html
https://www.yahoo.com/news/melania-trump-makes-surprise-visit-slideshow-wp-191146383/photo-p-first-lady-melania-trump-photo-191146898.html,360674,65,text/html
https://www.yahoo.com/news/topics/illegal-immigration,339350,64,text/html
https://www.yahoo.com/news/businesses-made-millions-off-trumps-child-separation-policy-023106551.html,391303,82,text/html
https://www.yahoo.com/news/democrats-look-gain-southern-california-outrage-mounts-family-separation-160638212.html,395217,91,text/html
https://www.yahoo.com/news/hurricane-matthew-batters-southeast-160331971/photo-hurricane-matthew-batters-the-southeast-1476457235041.html,404176,64,text/html
https://www.yahoo.com/news/hillary-clinton-reportedly-said-last-race-losing-election-152121491.html,337427,70,text/html
https://www.yahoo.com/news/cnn-president-fox-state-run-tv-162333629.html,332247,69,text/html
https://www.yahoo.com/news/bomb-scare-sparks-stampede-turin-slideshow-wp-112308862/photo-p-juventus-supporters-look-personal-photo-112308963.html,351180,66,text/html
https://www.yahoo.com/news/gaza-girls-growing-gaza-strip-slideshow-wp-144846713/photo-p-many-gazans-sea-only-photo-144846219.html,358741,70,text/html
https://www.yahoo.com/news/abandoned-buildings-photo-series-shows-slideshow-wp-180331817.html,344165,65,text/html
https://www.yahoo.com/news/melting-ice-handful-democrats-turn-heat-192206459.html,383807,88,text/html
https://www.yahoo.com/news/memories-john-mccain-americas-happy-warrior-002707178.html,380339,74,text/html
https://www.yahoo.com/news/mccain-leaves-legacy-standing-beliefs-040057645.html,432841,81,text/html
https://www.yahoo.com/news/ahead-of-trump-xi-summit-u-s-warns-clock-has-run-out-on-n-korea-215417128.html,339521,62,text/html
https://www.yahoo.com/news/trump-fails-at-the-art-of-the-political-deal-090015929.html,355691,69,text/html
https://www.yahoo.com/news/ivanka-trump-white-house-czar-090028682.html,355184,73,text/html
https://www.yahoo.com/news/suspected-syria-gas-attack-kills-slideshow-wp-135913241.html,385381,63,text/html
https://www.yahoo.com/news/ted-cruz-makes-the-missing-list-as-activists-demand-a-town-hall-220416473.html,378908,95,text/html
https://www.yahoo.com/news/jared-of-all-trades-kushners-ever-expanding-white-house-portfolio-214332085.html,367915,81,text/html
https://www.yahoo.com/news/syrian-doctor-closest-to-attack-90-percent-chance-this-was-sarin-210501356.html,338973,69,text/html
https://www.yahoo.com/news/what-you-need-to-know-indianas-contested-115140271161.html,354345,79,text/html
https://www.yahoo.com/news/gop-congresswoman-mother-of-transgender-son-denounces-trumps-lamentable-decision-to-rescind-protections-151633539.html,355750,75,text/html
https://www.yahoo.com/news/photos/indiana-religious-freedom-bill-1427808590-slideshow/,344480,58,text/html
https://www.yahoo.com/news/hard-trump-simply-tell-mueller-truth-225747053.html,346151,73,text/html
